frame number;complex0.txt;complex1.txt;complex2.txt;complex3.txt;complex4.txt;complex5.txt;complex6.txt;complex7.txt;complex8.txt;complex9.txt;simple0.txt;simple1.txt;simple2.txt;simple3.txt;simple4.txt;simple5.txt;simple6.txt;simple7.txt;simple8.txt;simple9.txt;
125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
126;0;0;0;0;0;0;0;0;0;0;0;0.015;0.007;0;0.011;0;0.021;0.016;0.031;0.047;
127;0;0.32;11.215;0;0.048;0.039;0.044;0.032;0.156;0.25;0;0;0;0;0;0;0;0;0;0;
128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
129;0;0.321;9.563;0;0.056;0.027;0.054;0.031;0.156;0.234;0;0;0;0;0;0;0;0;0;0;
130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
132;0;0;0;0;0.015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
133;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
136;0;0.105;2.943;0.001;0.031;0.025;0.015;0.016;0.094;0.14;0;0;0.015;0;0.011;0;0.016;0.016;0.031;0.047;
137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
138;0;0.001;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;
139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
140;0;0.162;3.341;0.002;0.282;0.31;0.318;0.312;0.14;0.282;0;0;0;0;0;0;0;0;0;0;
141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
144;0;0.289;7.469;0.001;0.047;0.032;0.032;0.031;0.141;0.234;0;0;0;0;0;0;0;0;0;0;
145;0.016;0.161;5.54;0.001;0.031;0.026;0.024;0.016;0.109;0.157;0;0;0.015;0;0;0.009;0.015;0;0.031;0.047;
146;0;0;0;0;0;0;0;0;0;0;0;0;0.015;0.001;0.015;0.015;0;0.016;0.031;0.031;
147;0;0;0;0;0;0;0;0;0;0;0;0;0.016;0;0.015;0;0.011;0;0.032;0.047;
148;0;0.077;2.604;0;0.021;0.017;0.019;0.015;0.078;0.109;0;0;0;0.001;0.001;0;0.001;0;0;0;
149;0;0.156;5.752;0;0.031;0.027;0.025;0.031;0.11;0.172;0;0;0;0;0;0;0;0;0;0;
150;0;0.386;11.722;0.001;0.047;0.053;0.043;0.047;0.172;0.25;0;0;0.015;0;0.008;0.009;0;0;0.015;0.047;
151;0;0;0;0;0;0;0;0;0;0;0;0;0.016;0;0.016;0;0.016;0.004;0.031;0.047;
152;0;0;0;0;0;0;0;0;0;0;0;0;0.015;0.001;0.007;0.013;0.008;0.015;0.046;0.047;
153;0;0.317;12.42;0;0.047;0.049;0.047;0.032;0.156;0.25;0;0;0.016;0;0.014;0.015;0.016;0.015;0.031;0.046;
154;0.015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
157;0;0.007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
158;0;0;0;0;0;0;0;0;0;0;0;0.001;0.016;0;0.009;0.012;0.016;0;0.031;0.047;
159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;
160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
161;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;
162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
164;0;0.339;11.426;0.016;0.046;0.031;0.032;0.031;0.172;0.25;0;0;0;0;0;0;0;0;0;0;
165;0;0.181;6.192;0;0.048;0.036;0.015;0.015;0.11;0.172;0;0.001;0.016;0;0.016;0;0;0.007;0.031;0.047;
166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
167;0;0.386;13.136;0;0.061;0.046;0.047;0.047;0.172;0.265;0;0.001;0.016;0;0.015;0.007;0.016;0.015;0.031;0.046;
168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
170;0;0.533;19.662;0.002;0.073;0.044;0.047;0.047;0.203;0.297;0;0;0;0;0;0;0;0;0;0;
171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
172;0;0.157;5.487;0.001;0.038;0.04;0.016;0.016;0.109;0.172;0;0.002;0.015;0;0.016;0.01;0.016;0;0.047;0.047;
173;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0.001;0;0;0;
174;0;0;0;0;0;0;0;0;0;0;0;0.002;0.016;0.001;0.009;0.007;0.005;0.015;0.031;0.046;
175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
